course_name,course_skill_category,alignment_label,top_k_average_similarity,best_similarity,best_match_overall_industry_competency,best_match_overall_similarity,matched_industry_competencies_count,top_k_matched_industry_competencies,top_k_matched_similarities,matched_domain_ids
Interpersonal Skill,Soft,Aligned,0.6594,0.67,keterampilan interpersonal yang baik good interpersonal skill,0.67,5,"keterampilan interpersonal yang baik good interpersonal skill | keterampilan interpersonal yang kuat dengan kemampuan membangun hubungan baik dengan audiens. strong interpersonal skills with the ability to build rapport with audiences. | keterampilan relasional; relational skills; | keterampilan interpersonal, komunikasi, dan pengaruh yang sangat baik serta kematangan pribadi. excellent interpersonal, communication, and influence skills and personal maturity. | keterampilan komunikasi dan interpersonal yang kuat, dengan pola pikir analitis dan mandiri. strong communication and interpersonal skills, with an analytical and self-driven mindset.",0.67 | 0.6652 | 0.6568 | 0.6549 | 0.65,43 | 82 | 43 | 43 | 82
Multimedia Systems,Hard,Not Aligned,0.5579,0.5814,"mahasiswa akhir teknologi informasi, sistem informasi, ilmu komputer, atau bidang terkait final student information technology, information system, computer science, or related field",0.5814,5,"mahasiswa akhir teknologi informasi, sistem informasi, ilmu komputer, atau bidang terkait final student information technology, information system, computer science, or related field | mahasiswa aktif informatika / sistem informasi / ilmu komputer Active student of informatics / information systems / computer science | pemahaman tentang streaming dan pemecahan masalah. understanding of streaming and troubleshooting. | memberikan dukungan teknis kepada pengguna film, termasuk instruktur dan pelajar. provide technical support to lms users, including instructors and learners. | memahami komputer, sistem jaringan, dan cctv understand computers, network systems, and cctv",0.5814 | 0.5727 | 0.5549 | 0.5412 | 0.5394,106 | 106 | 93 | 118 | 91
IT Project Management,Hard,Aligned,0.669,0.7411,memahami konsep itsm dan implementasinya dalam proyek. understand the concept of itsm and its implementation in projects.,0.7411,5,"memahami konsep itsm dan implementasinya dalam proyek. understand the concept of itsm and its implementation in projects. | membantu menentukan ruang lingkup dan tujuan proyek, melibatkan semua pemangku kepentingan terkait dan memastikan kelayakan teknis suatu proyek. help define the scope and objectives of the project, involve all relevant stakeholders and ensure the technical feasibility of a project. | detail-oriented dan rapi dalam administrasi proyek. detail-oriented and neat in project administration. | - pengetahuan tentang metodologi manajemen proyek (misalnya agile, devops, dll.) agile, devops, etc.) | kemampuan analitis dan manajemen proyek yang kuat, dengan pengetahuan mendalam tentang teknologi it dan penguasaan alat manajemen proyek (misalnya microsoft project, asana, trello, jira) Microsoft Project, Asana, Trello, Jira)",0.7411 | 0.6552 | 0.653 | 0.6481 | 0.6478,96 | 106 | 105 | 163 | 138
Wide Area Network (WAN),Hard,Aligned,0.6475,0.6659,pemahaman dasar tentang konektivitas jaringan dan dukungannya (tingkat non-rekayasa). basic understanding of network connectivity and it support (non-engineering level).,0.6659,5,"pemahaman dasar tentang konektivitas jaringan dan dukungannya (tingkat non-rekayasa). basic understanding of network connectivity and it support (non-engineering level). | paham jaringan, software, dan troubleshooting. understand networks, software, and troubleshooting. | mengembangkan sistem jaringan developing network systems | memahami teknik jaringan (tcp/ip, routing & switch, jaringan nirkabel, jaringan bridging, keamanan, f5, fortigate, aruba) understand network engineering (tcp/ip, routing & switch, wireless network, bridging network, security, f5, fortigate, aruba) | memahami client-server, konsep jaringan, pemecahan masalah komputer understand client-server, networking concept, computer troubleshooting",0.6659 | 0.6538 | 0.645 | 0.6404 | 0.6322,191 | 15 | 191 | 191 | 188
Sistem Informasi Manajemen,Hard,Aligned,0.6444,0.6504,"peran ini menawarkan peluang untuk membentuk cara bisnis beroperasi, memanfaatkan data, teknologi, dan kolaborasi lintas fungsi untuk mendorong kinerja berkelanjutan dan nilai jangka panjang. this role offers the opportunity to shape how the business operates, leveraging data, technology, and cross-functional collaboration to drive sustainable performance and long-term value.",0.6504,5,"peran ini menawarkan peluang untuk membentuk cara bisnis beroperasi, memanfaatkan data, teknologi, dan kolaborasi lintas fungsi untuk mendorong kinerja berkelanjutan dan nilai jangka panjang. this role offers the opportunity to shape how the business operates, leveraging data, technology, and cross-functional collaboration to drive sustainable performance and long-term value. | teknologi Informasi information technology | pengetahuan yang kuat tentang ekosistem CRM, erp, analitik, dan e-commerce dengan kemampuan untuk menghubungkan kebutuhan bisnis dengan solusi teknologi. strong knowledge of crm, erp, analytics, and e- commerce ecosystems with ability to connect business needs to technology solutions. | mahasiswa aktif informatika / sistem informasi / ilmu komputer Active student of informatics / information systems / computer science | melakukan desain dan peningkatan sistem informasi untuk memenuhi kebutuhan bisnis dan klien. perform design an upgrades of information system to meet the business and client needs.",0.6504 | 0.6456 | 0.6428 | 0.6425 | 0.6405,167 | 175 | 162 | 106 | 96
Tata Kelola Sistem Informasi,Hard,Aligned,0.6149,0.6371,"memastikan basis pengetahuan, pedoman, dan buku pegangan terkini. ensure knowledge base, sops, and handbooks are current.",0.6371,5,"memastikan basis pengetahuan, pedoman, dan buku pegangan terkini. ensure knowledge base, sops, and handbooks are current. | memiliki pengetahuan dasar paradigma pemrograman (pemrograman terstruktur/berorientasi objek) having basic knowledge of programming paradigm (structured / object oriented programming) | di dalamnya disiplin ilmu. in it disciplines. | memberikan pelatihan pengetahuan it kepada user pengguna provide IT knowledge training to users | berkontribusi pada pelatihan dan panduan pengguna mengenai alat TI dasar dan praktik terbaik seiring berkembangnya peran tersebut contribute to user training and guidance on basic it tools and best practices as the role evolves",0.6371 | 0.622 | 0.6198 | 0.6033 | 0.5922,176 | 191 | 72 | 176 | 106
Data Warehouse dan Mining,Hard,Aligned,0.7038,0.7473,memahami konsep gudang data understanding data warehouse concept,0.7473,5,"memahami konsep gudang data understanding data warehouse concept | pengetahuan dasar dalam konsep database & data warehouse basic knowledge in database & data warehouse concept | pengembangan gudang data. data warehouse development. | untuk mengawasi fungsi ilmu data, mendorong penerapan teknik analisis canggih dan pembelajaran mesin untuk mengekstrak wawasan yang dapat ditindaklanjuti dari kumpulan data yang kompleks dalam mengoptimalkan kinerja komersial dan operasional dengan meningkatkan perkiraan, personalisasi, dan pengambilan keputusan berdasarkan data dengan membangun kemampuan ilmu data yang kuat, memastikan penyampaian inisiatif bisnis strategis melalui solusi analitis yang inovatif dan fokus yang kuat pada dampak yang terukur. to oversee the data science function, driving the application of advanced analytical techniques and machine learning to extract actionable insights from complex datasets in optimizing commercial and operational performance by enhancing forecasting, personalization, and data-driven decision-making by establish a robust data science capability, ensuring the delivery of strategic business initiatives through innovative analytical solutions and a strong focus on measurable impact. | telah mengikuti kursus atau perkuliahan tentang tata kelola data dan kualitas data. have taken courses or lectures on data governance and data quality.",0.7473 | 0.7111 | 0.7032 | 0.6836 | 0.6739,111 | 111 | 111 | 111 | 112
Pengolahan Citra,Hard,Aligned,0.6272,0.7136,memahami fotografi & videografi dasar understand basic photography & videography,0.7136,5,"memahami fotografi & videografi dasar understand basic photography & videography | pemahaman dasar tentang pemetaan uv, tekstur, dan rendering basic understanding of uv mapping, texturing, and rendering | kelancaran dalam mengembangkan dan memahami diagram urutan, model kelas, dll. fluency in developing and understanding sequence diagrams, class models, etc. | memiliki kemampuan memahami gambar teknik. Have the ability to understand technical drawings. | pemahaman dasar konsep pemrograman (pelatihan diberikan) basic understanding of programming concepts (training provided)",0.7136 | 0.6133 | 0.612 | 0.6063 | 0.5909,92 | 97 | 58 | 106 | 106
Ethical Hacking,Hard,Not Aligned,0.5724,0.6326,peretasan etis. ethical hacking.,0.6326,5,"peretasan etis. ethical hacking. | mempelajari dan menganalisis cara kerja serangan siber dan cara mendeteksi atau mencegahnya. learn and analyze how cyberattacks work and how to detect or prevent them. | ketelitian & etika penelitian: menunjukkan keahlian dalam merancang dan mengelola proyek penelitian (studi kuantitatif, kualitatif, epidemiologi, atau klinis) dengan ketelitian metodologis dan kepatuhan etika penuh. research rigor & ethics: demonstrated expertise in designing and managing research projects (quantitative, qualitative, epidemiological, or clinical studies) with methodological rigor and full ethical compliance. | kursus pemrograman komputer computer programming courses | pengetahuan dasar tentang konsep keamanan siber, termasuk jaringan, 10 owasp teratas, dan alat seperti nmap dan burp suite. basic knowledge of cybersecurity concepts, including networking, the owasp top 10, and tools such as nmap and burp suite.",0.6326 | 0.6008 | 0.5532 | 0.5472 | 0.5283,122 | 125 | 54 | 106 | 188
Manajemen Jaringan,Hard,Not Aligned,0.5552,0.5662,"memahami client-server, konsep jaringan, pemecahan masalah komputer understand client-server, networking concept, computer troubleshooting",0.5662,5,"memahami client-server, konsep jaringan, pemecahan masalah komputer understand client-server, networking concept, computer troubleshooting | berkontribusi pada dokumentasi prosesnya, panduan pengguna, dan prosedur pemecahan masalah contribute to documentation of it processes, user guides, and troubleshooting procedures | menganalisis kinerja jaringan dan server, melakukan pemecahan masalah analyze network and server performance, perform troubleshooting | · berkontribusi pada dokumentasi prosesnya, panduan pengguna, dan prosedur pemecahan masalah · contribute to documentation of it processes, user guides, and troubleshooting procedures | melakukan pemecahan masalah jaringan dan fine-tuning. perform network troubleshooting and fine-tuning.",0.5662 | 0.5585 | 0.5564 | 0.5527 | 0.5422,188 | 127 | 188 | 188 | 191
IT Security,Hard,Aligned,0.6313,0.6488,"memahami konsep jaringan komputer, sistem operasi database, dan keamanan informasi understand the concepts of computer networks, database operating systems, and information security",0.6488,5,"memahami konsep jaringan komputer, sistem operasi database, dan keamanan informasi understand the concepts of computer networks, database operating systems, and information security | pengetahuan dasar tentang konsep keamanan siber, termasuk jaringan, 10 owasp teratas, dan alat seperti nmap dan burp suite. basic knowledge of cybersecurity concepts, including networking, the owasp top 10, and tools such as nmap and burp suite. | kursus pemrograman komputer computer programming courses | pemahaman tentang prinsip-prinsip dasar keamanannya understanding of basic it security principles | 4.memiliki pemahaman tentang teknologi perangkat keamanan have an understanding of security device technology",0.6488 | 0.6423 | 0.6357 | 0.6246 | 0.6051,188 | 188 | 106 | 126 | 126
Interaksi Manusia dan Komputer,Hard,Aligned,0.6314,0.6725,kursus pemrograman komputer computer programming courses,0.6725,5,"kursus pemrograman komputer computer programming courses | memberikan pelatihan dan panduan pengguna untuk aplikasi dan operasi sistem dasar. deliver user training and guidance for it applications and basic system operations. | pemahaman dasar konsep pemrograman (pelatihan diberikan) basic understanding of programming concepts (training provided) | berkontribusi pada dokumentasi prosesnya, panduan pengguna, dan prosedur pemecahan masalah contribute to documentation of it processes, user guides, and troubleshooting procedures | memberikan pelatihan pengetahuan it kepada user pengguna provide IT knowledge training to users",0.6725 | 0.6306 | 0.6297 | 0.6154 | 0.6087,106 | 106 | 106 | 127 | 176
Rekayasa Ilmu,Hard,Aligned,0.6321,0.6368,"akrab dengan ai, visi komputer, konsep pembelajaran mesin, dan pemecahan masalah dasar. familiar with ai, computer vision, machine learning concepts, and basic troubleshooting.",0.6368,5,"akrab dengan ai, visi komputer, konsep pembelajaran mesin, dan pemecahan masalah dasar. familiar with ai, computer vision, machine learning concepts, and basic troubleshooting. | memahami gambar teknik, memahami aturan klasifikasi, syahbandar dan imo, mampu mengoperasikan software 3d yang related dengan pekerjaan engineering, memahami piping system dan machinery yang ada dikapal understand technical drawings, understand classification rules, harbormaster and imo, able to operate 3D software related to engineering work, understand piping systems and machinery on board | berkontribusi pada pelatihan dan panduan pengguna mengenai alat TI dasar dan praktik terbaik seiring berkembangnya peran tersebut contribute to user training and guidance on basic it tools and best practices as the role evolves | mencari informasi untuk mempelajari tentang metodologi dan teknologi yang muncul seeking out information to learn about emerging methodologies and technologies | kursus pemrograman komputer computer programming courses",0.6368 | 0.6357 | 0.6307 | 0.6291 | 0.628,104 | 106 | 106 | 176 | 106
Mobil Computing,Hard,Not Aligned,0.5822,0.6168,kursus pemrograman komputer computer programming courses,0.6168,5,"kursus pemrograman komputer computer programming courses | membuat dan menyebarkan kursus online, termasuk pengunggahan konten, pembuatan modul kursus, dan penyediaan alat penilaian (kuis, ujian, tugas). create and deploy online courses, including content uploads, course module creation, and providing assessment tools (quizzes, exams, assignments). | mahasiswa akhir teknologi informasi, sistem informasi, ilmu komputer, atau bidang terkait final student information technology, information system, computer science, or related field | memahami proses manual testing pada aplikasi (mobile dan web) understand the manual testing process for applications (mobile and web) | melakukan proses penjadwalan yang efektif untuk kelas online, ujian mata kuliah dan ujian tesis pada tahun akademik terkait conduct effective scheduling process for online class, course examination and thesis defense in related academic year",0.6168 | 0.5912 | 0.5713 | 0.571 | 0.5605,106 | 106 | 106 | 151 | 106
Advanced Broadband Networking,Hard,Aligned,0.6298,0.6487,"pemahaman dasar tentang konsep jaringan (pengalamatan ip, dns, konektivitas). basic understanding of networking concepts (ip addressing, dns, connectivity).",0.6487,5,"pemahaman dasar tentang konsep jaringan (pengalamatan ip, dns, konektivitas). basic understanding of networking concepts (ip addressing, dns, connectivity). | memahami konsep jaringan komputer (tcp/ip, routing, switching, vlan, firewall). understand computer network concepts (tcp/ip, routing, switching, vlan, firewall). | pemahaman dasar konsep jaringan (dns, http/https, tcp/ip) basic understanding of networking concepts (dns, http/https, tcp/ip) | memahami teknik jaringan (tcp/ip, routing & switch, jaringan nirkabel, jaringan bridging, keamanan, f5, fortigate, aruba) understand network engineering (tcp/ip, routing & switch, wireless network, bridging network, security, f5, fortigate, aruba) | pemahaman dasar tentang konektivitas jaringan dan dukungannya (tingkat non-rekayasa). basic understanding of network connectivity and it support (non-engineering level).",0.6487 | 0.6346 | 0.6251 | 0.621 | 0.6195,102 | 14 | 102 | 191 | 191
Computer Vision,Hard,Aligned,0.6154,0.6429,program ini bertujuan untuk memberikan kesempatan kepada mahasiswa dalam This program aims to provide opportunities for students in,0.6429,5,"program ini bertujuan untuk memberikan kesempatan kepada mahasiswa dalam This program aims to provide opportunities for students in | pemahaman dasar konsep pemrograman (pelatihan diberikan) basic understanding of programming concepts (training provided) | pendidikan education | pemahaman tentang kebutuhan dan karakteristik akademik, sosial dan perilaku siswa tingkat tinggi. understanding of academic, social and behavioral needs and characteristics of high level student. | di dalamnya disiplin ilmu. in it disciplines.",0.6429 | 0.6242 | 0.6061 | 0.6042 | 0.5998,106 | 106 | 54 | 106 | 72
Bahasa Indonesia,Hard,Aligned,0.7035,0.72,mahir berbahasa Inggris dan Indonesia proficient in english and indonesian,0.72,5,"mahir berbahasa Inggris dan Indonesia proficient in english and indonesian | keterampilan komunikasi lisan dan tulisan yang baik dalam bahasa indonesia maupun bahasa inggris Good oral and written communication skills in Indonesian and English | kefasihan berbahasa indonesia dan kemahiran berbahasa inggris, baik lisan maupun tulisan. fluency in bahasa indonesia and proficiency in english, both verbal and written. | proficient in english and bahasa indonesia Proficient in English and Indonesian | keterampilan komunikasi verbal dan tertulis yang sangat baik dalam bahasa indonesia dan bahasa inggris. excellent verbal and written communication skills in both bahasa indonesia and english.",0.72 | 0.7105 | 0.7053 | 0.6952 | 0.6864,40 | 40 | 40 | 40 | 40
Agama,Hard,Not Aligned,0.4262,0.4513,sifat kepribadian personality trait,0.4513,5,sifat kepribadian personality trait | ciri-ciri kepribadian personality traits | menyelenggarakan kegiatan orientasi unggulan bagi mahasiswa baru pada tahun ajaran terkait conduct excellent orientation activities for new students in related academic year | seorang pemikir kreatif dengan kemampuan menerjemahkan ide kurikulum abstrak menjadi visual yang menarik. a creative thinker with the ability to translate abstract curriculum ideas into engaging visuals. | ciri-ciri pribadi personal traits,0.4513 | 0.4327 | 0.4252 | 0.4159 | 0.4058,1 | 1 | 72 | 106 | 88
English for Academic Purposes 1,Hard,Not Aligned,0.4001,0.4154,"melakukan troubleshooting terhadap masalah jaringan (server, router, switch, firewall, dll). troubleshooting network problems (servers, routers, switches, firewalls, etc.).",0.4154,5,"melakukan troubleshooting terhadap masalah jaringan (server, router, switch, firewall, dll). troubleshooting network problems (servers, routers, switches, firewalls, etc.). | bersama tim pemeliharaan melakukan troubleshoot terhadap kendala pada aplikasi, database dan server together with the maintenance team, troubleshoot problems with applications, databases and servers | memecahkan masalah platform dan masalah keamanan. troubleshoot platform and security issues. | troubleshooting dan analisis gangguan pada layanan broadband & dedicated. troubleshooting and analysis of disruptions to broadband & dedicated services. | mendiagnosis dan memecahkan masalah kesalahan jaringan diagnosing and troubleshooting network errors",0.4154 | 0.4052 | 0.396 | 0.3941 | 0.3897,15 | 188 | 188 | 15 | 15
Pendidikan Pancasila dan Kewarganegaraan,Hard,Aligned,0.6146,0.6338,biasanya pelajar Indonesia dari universitas terkemuka di negara ini dengan prestasi akademis yang luar biasa dan catatan kegiatan ekstrakurikuler yang kuat. typically indonesian students from the country’s leading universities with outstanding academic performance and a strong record of extracurricular activities.,0.6338,5,"biasanya pelajar Indonesia dari universitas terkemuka di negara ini dengan prestasi akademis yang luar biasa dan catatan kegiatan ekstrakurikuler yang kuat. typically indonesian students from the country’s leading universities with outstanding academic performance and a strong record of extracurricular activities. | kewarganegaraan indonesia indonesian nationality | mahir berbahasa Inggris dan Indonesia proficient in english and indonesian | menunjukkan antusiasme untuk belajar, berpikir kritis, dan selalu mengikuti perkembangan politik, ekonomi, dan sosial di Indonesia. demonstrates enthusiasm for learning, critical thinking, and staying updated on political, economic, and social developments in indonesia. | mampu berbahasa indonesia (aktif & pasif) dan bahasa inggris (pasif) Able to speak Indonesian (active & passive) and English (passive)",0.6338 | 0.6305 | 0.6177 | 0.6005 | 0.5904,106 | 40 | 40 | 40 | 40
English AP2,Hard,Aligned,0.6659,0.6821,Memiliki kemahiran berbahasa Inggris baik lisan maupun tulisan adalah suatu keharusan have proficiency in both verbal and writing in english is a must,0.6821,5,"Memiliki kemahiran berbahasa Inggris baik lisan maupun tulisan adalah suatu keharusan have proficiency in both verbal and writing in english is a must | memahami bahasa inggris baik lisan maupun tulisan understand english both oral and written | kemahiran yang kuat dalam bahasa Inggris, baik tertulis maupun lisan strong proficiency in english, both written and spoken | kemahiran yang sangat baik dalam bahasa Inggris tertulis dan lisan. excellent proficiency in both written and spoken english. | mahir berbahasa inggris baik lisan maupun tulisan proficient in english both oral and written",0.6821 | 0.6722 | 0.6649 | 0.6565 | 0.6538,72 | 40 | 40 | 40 | 73
